"title","description","url","date","copyright","root_url","root_title","root_header","root_reference","root_footer"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","alias Create an alias •","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","apropos Search Help manual pages (man -k)","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","apt-get Search for and install software packages (Debian/Ubuntu)","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","aptitude Search for and install software packages (Debian/Ubuntu)","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","aspell Spell Checker","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","awk Find and Replace text, database sort/validate/index","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","basename Strip directory and suffix from filenames","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","base32 Base32 encode/decode data and print to standard output","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","base64 Base64 encode/decode data and print to standard output","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","bash GNU Bourne-Again SHell","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","bc Arbitrary precision calculator language","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","bg Send to background","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","bind Set or display readline key and function bindings •","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","break Exit from a loop •","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","builtin Run a shell builtin","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","bzip2 Compress or decompress named file(s)","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","cal Display a calendar","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","case Conditionally perform a command","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","cat Concatenate and print (display) the content of files","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","cd Change Directory","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","cfdisk Partition table manipulator for Linux","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","chattr Change file attributes on a Linux file system","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
"( SS64 )","Command line reference – Database and OS scripting.","https://ss64.com/","2020-05-18","Copyright © 1999-2020 SS64.com, some rights reserved.","https://ss64.com/bash/","Linux","An A-Z Index of the Linux command line: bash + utilities.","chgrp Change group ownership","More bash commands: Linux Command Directory from O'Reilly, GNU CoreUtils.
SS64 bash discussion forum
Links to other Sites, books etc"
